,Lower_Bound,Upper_Bound
Shoulder_Angle,49.12891809221813,98.28581168738404
Left_Torso_Incline_Angle,-25.7171512351891,65.88513605344895
Right_Torso_Incline_Angle,-39.44774608833578,85.55255249120229
Left_Elbow_Angle,83.01360959798157,226.43253956433122
Right_Elbow_Angle,57.50388691294229,246.0459751470308
Left_Hip_Knee_Angle,141.11878591819698,201.03699478579756
Right_Hip_Knee_Angle,137.63319766344358,203.09824263797822
Left_Knee_Ankle_Angle,-9.054775162169996,16.863127871555985
Right_Knee_Ankle_Angle,-10.06812694100084,18.586657247589656
Head_to_Shoulders_Angle,-10.952902394106943,134.08199593028684
Head_to_Hips_Angle,51.26519257749506,115.54064548624326
