keypoint_0,keypoint_1,keypoint_2,keypoint_3,keypoint_4,keypoint_5,keypoint_6,keypoint_7,keypoint_8,keypoint_9,keypoint_10,keypoint_11,keypoint_12,keypoint_13,keypoint_14,keypoint_15,keypoint_16,keypoint_17,keypoint_18,keypoint_19,keypoint_20,keypoint_21,keypoint_22,keypoint_23,keypoint_24,keypoint_25,keypoint_26,keypoint_27,keypoint_28,keypoint_29,keypoint_30,keypoint_31,keypoint_32,keypoint_33,Frame,Video,keypoint_0_velocity,keypoint_0_acceleration,keypoint_1_velocity,keypoint_1_acceleration,keypoint_2_velocity,keypoint_2_acceleration,keypoint_3_velocity,keypoint_3_acceleration,keypoint_4_velocity,keypoint_4_acceleration,keypoint_5_velocity,keypoint_5_acceleration,keypoint_6_velocity,keypoint_6_acceleration,keypoint_7_velocity,keypoint_7_acceleration,keypoint_8_velocity,keypoint_8_acceleration,keypoint_9_velocity,keypoint_9_acceleration,keypoint_10_velocity,keypoint_10_acceleration,keypoint_11_velocity,keypoint_11_acceleration,keypoint_12_velocity,keypoint_12_acceleration,keypoint_13_velocity,keypoint_13_acceleration,keypoint_14_velocity,keypoint_14_acceleration,keypoint_15_velocity,keypoint_15_acceleration,keypoint_16_velocity,keypoint_16_acceleration,keypoint_17_velocity,keypoint_17_acceleration,keypoint_18_velocity,keypoint_18_acceleration,keypoint_19_velocity,keypoint_19_acceleration,keypoint_20_velocity,keypoint_20_acceleration,keypoint_21_velocity,keypoint_21_acceleration,keypoint_22_velocity,keypoint_22_acceleration,keypoint_23_velocity,keypoint_23_acceleration,keypoint_24_velocity,keypoint_24_acceleration,keypoint_25_velocity,keypoint_25_acceleration,keypoint_26_velocity,keypoint_26_acceleration,keypoint_27_velocity,keypoint_27_acceleration,keypoint_28_velocity,keypoint_28_acceleration,keypoint_29_velocity,keypoint_29_acceleration,keypoint_30_velocity,keypoint_30_acceleration,keypoint_31_velocity,keypoint_31_acceleration,keypoint_32_velocity,keypoint_32_acceleration,keypoint_33_velocity,keypoint_33_acceleration,Angle,Velocity,Acceleration
tensor(316.8399),tensor(149.4987),tensor(332.1233),tensor(137.6269),tensor(303.5708),tensor(136.1937),tensor(351.6194),tensor(149.0031),tensor(284.0797),tensor(144.9999),tensor(375.0559),tensor(233.5390),tensor(241.1318),tensor(217.0292),tensor(401.4895),tensor(323.3307),tensor(173.4679),tensor(292.2838),tensor(373.0310),tensor(369.8639),tensor(194.9200),tensor(374.3718),tensor(335.5348),tensor(446.9701),tensor(245.6396),tensor(439.8589),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),0,video_1,tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),tensor(nan),24.28555294534646,0,0
tensor(264.4369),tensor(133.7288),tensor(278.3687),tensor(119.4661),tensor(249.3485),tensor(120.9138),tensor(299.0576),tensor(130.0219),tensor(230.7567),tensor(133.4214),tensor(335.4472),tensor(219.9797),tensor(193.2012),tensor(214.3222),tensor(371.0312),tensor(312.9223),tensor(133.3014),tensor(296.7550),tensor(335.2124),tensor(370.7290),tensor(161.2533),tensor(374.9974),tensor(305.1439),tensor(446.4067),tensor(207.1055),tensor(443.1873),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),1,video_1,tensor(-52.4030),tensor(nan),tensor(-15.7699),tensor(nan),tensor(-53.7546),tensor(nan),tensor(-18.1608),tensor(nan),tensor(-54.2223),tensor(nan),tensor(-15.2799),tensor(nan),tensor(-52.5618),tensor(nan),tensor(-18.9812),tensor(nan),tensor(-53.3231),tensor(nan),tensor(-11.5785),tensor(nan),tensor(-39.6087),tensor(nan),tensor(-13.5593),tensor(nan),tensor(-47.9306),tensor(nan),tensor(-2.7070),tensor(nan),tensor(-30.4583),tensor(nan),tensor(-10.4085),tensor(nan),tensor(-40.1666),tensor(nan),tensor(4.4713),tensor(nan),tensor(-37.8186),tensor(nan),tensor(0.8651),tensor(nan),tensor(-33.6667),tensor(nan),tensor(0.6255),tensor(nan),tensor(-30.3909),tensor(nan),tensor(-0.5634),tensor(nan),tensor(-38.5342),tensor(nan),tensor(3.3284),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),tensor(0.),tensor(nan),24.504790761246635,tensor(164.9230),tensor(164.9230)
tensor(258.9857),tensor(133.7245),tensor(273.2485),tensor(119.9158),tensor(245.1929),tensor(121.1379),tensor(294.6129),tensor(130.3812),tensor(228.4174),tensor(132.5219),tensor(333.0889),tensor(217.3226),tensor(189.5824),tensor(212.4955),tensor(369.3101),tensor(311.2358),tensor(131.4754),tensor(296.9013),tensor(334.6937),tensor(371.4690),tensor(158.7180),tensor(378.1766),tensor(307.3050),tensor(443.7605),tensor(207.8171),tensor(440.8950),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),2,video_1,tensor(-5.4512),tensor(46.9518),tensor(-0.0043),tensor(15.7656),tensor(-5.1202),tensor(48.6344),tensor(0.4497),tensor(18.6105),tensor(-4.1556),tensor(50.0667),tensor(0.2241),tensor(15.5040),tensor(-4.4448),tensor(48.1170),tensor(0.3594),tensor(19.3406),tensor(-2.3393),tensor(50.9837),tensor(-0.8995),tensor(10.6790),tensor(-2.3583),tensor(37.2504),tensor(-2.6572),tensor(10.9021),tensor(-3.6188),tensor(44.3119),tensor(-1.8267),tensor(0.8803),tensor(-1.7211),tensor(28.7372),tensor(-1.6864),tensor(8.7220),tensor(-1.8259),tensor(38.3406),tensor(0.1463),tensor(-4.3249),tensor(-0.5187),tensor(37.2999),tensor(0.7400),tensor(-0.1252),tensor(-2.5353),tensor(31.1314),tensor(3.1793),tensor(2.5537),tensor(2.1611),tensor(32.5520),tensor(-2.6462),tensor(-2.0829),tensor(0.7117),tensor(39.2459),tensor(-2.2924),tensor(-5.6208),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),24.789371493821864,tensor(13.1386),tensor(-151.7844)
tensor(258.7856),tensor(133.0580),tensor(273.0724),tensor(119.4276),tensor(244.7045),tensor(120.8305),tensor(294.5696),tensor(130.6723),tensor(227.7269),tensor(133.1110),tensor(332.1054),tensor(217.2672),tensor(189.4678),tensor(212.3235),tensor(367.8592),tensor(310.6982),tensor(129.7755),tensor(296.2457),tensor(336.2568),tensor(369.9907),tensor(158.6698),tensor(378.8315),tensor(307.4567),tensor(443.5953),tensor(208.0235),tensor(441.1504),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),3,video_1,tensor(-0.2001),tensor(5.2511),tensor(-0.6665),tensor(-0.6622),tensor(-0.1761),tensor(4.9442),tensor(-0.4882),tensor(-0.9379),tensor(-0.4884),tensor(3.6672),tensor(-0.3074),tensor(-0.5316),tensor(-0.0433),tensor(4.4015),tensor(0.2910),tensor(-0.0683),tensor(-0.6905),tensor(1.6488),tensor(0.5892),tensor(1.4887),tensor(-0.9835),tensor(1.3748),tensor(-0.0554),tensor(2.6018),tensor(-0.1146),tensor(3.5042),tensor(-0.1720),tensor(1.6547),tensor(-1.4508),tensor(0.2703),tensor(-0.5376),tensor(1.1488),tensor(-1.6999),tensor(0.1260),tensor(-0.6556),tensor(-0.8019),tensor(1.5632),tensor(2.0819),tensor(-1.4783),tensor(-2.2183),tensor(-0.0482),tensor(2.4870),tensor(0.6549),tensor(-2.5244),tensor(0.1517),tensor(-2.0094),tensor(-0.1652),tensor(2.4810),tensor(0.2064),tensor(-0.5053),tensor(0.2554),tensor(2.5478),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),24.052075198753236,tensor(3.7339),tensor(-9.4047)
tensor(259.3640),tensor(133.5841),tensor(273.5995),tensor(119.8759),tensor(245.1213),tensor(121.0440),tensor(294.2507),tensor(130.6490),tensor(226.7646),tensor(132.5233),tensor(330.6491),tensor(216.6835),tensor(187.7328),tensor(212.1061),tensor(366.1513),tensor(310.7952),tensor(127.6055),tensor(297.0873),tensor(330.4304),tensor(373.4222),tensor(158.1756),tensor(378.9975),tensor(308.0707),tensor(444.3841),tensor(208.5818),tensor(442.4779),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),4,video_1,tensor(0.5784),tensor(0.7785),tensor(0.5261),tensor(1.1926),tensor(0.5271),tensor(0.7031),tensor(0.4483),tensor(0.9364),tensor(0.4169),tensor(0.9053),tensor(0.2136),tensor(0.5210),tensor(-0.3188),tensor(-0.2756),tensor(-0.0232),tensor(-0.3143),tensor(-0.9623),tensor(-0.2719),tensor(-0.5877),tensor(-1.1768),tensor(-1.4563),tensor(-0.4728),tensor(-0.5837),tensor(-0.5284),tensor(-1.7350),tensor(-1.6203),tensor(-0.2174),tensor(-0.0454),tensor(-1.7079),tensor(-0.2571),tensor(0.0969),tensor(0.6345),tensor(-2.1700),tensor(-0.4701),tensor(0.8416),tensor(1.4972),tensor(-5.8265),tensor(-7.3896),tensor(3.4315),tensor(4.9098),tensor(-0.4941),tensor(-0.4459),tensor(0.1660),tensor(-0.4890),tensor(0.6140),tensor(0.4623),tensor(0.7888),tensor(0.9540),tensor(0.5582),tensor(0.3518),tensor(1.3275),tensor(1.0721),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),24.342195396063886,tensor(8.1002),tensor(4.3663)
tensor(258.6557),tensor(133.7641),tensor(272.9494),tensor(119.8730),tensor(244.3894),tensor(121.2312),tensor(294.1094),tensor(130.4445),tensor(226.4901),tensor(132.6917),tensor(330.9916),tensor(216.7303),tensor(187.7772),tensor(212.2096),tensor(365.6923),tensor(311.4310),tensor(127.3810),tensor(297.1946),tensor(330.1375),tensor(374.6009),tensor(159.0578),tensor(379.4406),tensor(309.2303),tensor(443.4051),tensor(209.5714),tensor(441.6434),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),5,video_1,tensor(-0.7084),tensor(-1.2868),tensor(0.1799),tensor(-0.3462),tensor(-0.6501),tensor(-1.1772),tensor(-0.0029),tensor(-0.4512),tensor(-0.7319),tensor(-1.1488),tensor(0.1872),tensor(-0.0264),tensor(-0.1414),tensor(0.1775),tensor(-0.2046),tensor(-0.1813),tensor(-0.2745),tensor(0.6879),tensor(0.1683),tensor(0.7560),tensor(0.3425),tensor(1.7988),tensor(0.0469),tensor(0.6306),tensor(0.0444),tensor(1.7793),tensor(0.1035),tensor(0.3209),tensor(-0.4590),tensor(1.2489),tensor(0.6359),tensor(0.5389),tensor(-0.2245),tensor(1.9455),tensor(0.1074),tensor(-0.7342),tensor(-0.2928),tensor(5.5337),tensor(1.1787),tensor(-2.2527),tensor(0.8822),tensor(1.3763),tensor(0.4431),tensor(0.2772),tensor(1.1596),tensor(0.5457),tensor(-0.9790),tensor(-1.7679),tensor(0.9897),tensor(0.4314),tensor(-0.8345),tensor(-2.1620),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),24.37262614151349,tensor(2.9885),tensor(-5.1117)
tensor(257.4592),tensor(136.9567),tensor(271.8802),tensor(121.9172),tensor(242.9373),tensor(123.3661),tensor(293.6646),tensor(129.7041),tensor(224.7038),tensor(132.0542),tensor(328.8420),tensor(216.7203),tensor(187.6335),tensor(212.3208),tensor(363.7192),tensor(308.8258),tensor(127.7705),tensor(296.3463),tensor(334.8888),tensor(368.6949),tensor(159.7119),tensor(380.6158),tensor(308.8196),tensor(442.2292),tensor(211.3748),tensor(440.9739),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),6,video_1,tensor(-1.1965),tensor(-0.4881),tensor(3.1926),tensor(3.0127),tensor(-1.0693),tensor(-0.4192),tensor(2.0441),tensor(2.0470),tensor(-1.4521),tensor(-0.7202),tensor(2.1349),tensor(1.9478),tensor(-0.4448),tensor(-0.3034),tensor(-0.7404),tensor(-0.5358),tensor(-1.7863),tensor(-1.5119),tensor(-0.6375),tensor(-0.8058),tensor(-2.1496),tensor(-2.4921),tensor(-0.0100),tensor(-0.0569),tensor(-0.1438),tensor(-0.1881),tensor(0.1112),tensor(0.0077),tensor(-1.9730),tensor(-1.5140),tensor(-2.6053),tensor(-3.2411),tensor(0.3895),tensor(0.6139),tensor(-0.8483),tensor(-0.9557),tensor(4.7513),tensor(5.0441),tensor(-5.9060),tensor(-7.0847),tensor(0.6541),tensor(-0.2281),tensor(1.1751),tensor(0.7320),tensor(-0.4107),tensor(-1.5703),tensor(-1.1759),tensor(-0.1968),tensor(1.8034),tensor(0.8138),tensor(-0.6696),tensor(0.1649),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),25.821448262012026,tensor(10.4248),tensor(7.4364)
tensor(254.7744),tensor(136.3373),tensor(269.2587),tensor(121.8238),tensor(240.1963),tensor(122.9569),tensor(290.7746),tensor(130.4728),tensor(221.2250),tensor(132.1815),tensor(326.7467),tensor(215.6683),tensor(184.6650),tensor(211.8513),tensor(362.9289),tensor(306.8661),tensor(127.9904),tensor(296.2440),tensor(332.2755),tensor(366.9016),tensor(159.8563),tensor(380.4901),tensor(308.3726),tensor(439.9529),tensor(209.8290),tensor(438.7195),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),7,video_1,tensor(-2.6848),tensor(-1.4883),tensor(-0.6194),tensor(-3.8120),tensor(-2.6215),tensor(-1.5522),tensor(-0.0934),tensor(-2.1375),tensor(-2.7410),tensor(-1.2889),tensor(-0.4092),tensor(-2.5441),tensor(-2.8900),tensor(-2.4453),tensor(0.7688),tensor(1.5092),tensor(-3.4788),tensor(-1.6925),tensor(0.1273),tensor(0.7647),tensor(-2.0954),tensor(0.0542),tensor(-1.0520),tensor(-1.0420),tensor(-2.9684),tensor(-2.8247),tensor(-0.4695),tensor(-0.5807),tensor(-0.7904),tensor(1.1826),tensor(-1.9597),tensor(0.6456),tensor(0.2200),tensor(-0.1695),tensor(-0.1024),tensor(0.7460),tensor(-2.6133),tensor(-7.3646),tensor(-1.7933),tensor(4.1126),tensor(0.1444),tensor(-0.5097),tensor(-0.1257),tensor(-1.3008),tensor(-0.4471),tensor(-0.0364),tensor(-2.2763),tensor(-1.1005),tensor(-1.5459),tensor(-3.3493),tensor(-2.2544),tensor(-1.5848),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),25.25366118099194,tensor(9.2306),tensor(-1.1943)
tensor(247.4558),tensor(126.9575),tensor(260.2239),tensor(110.5048),tensor(230.8879),tensor(113.6989),tensor(281.7987),tensor(115.0607),tensor(211.3434),tensor(122.3656),tensor(321.4307),tensor(200.4084),tensor(180.1766),tensor(201.6708),tensor(359.7096),tensor(289.4763),tensor(122.8478),tensor(285.3156),tensor(328.1530),tensor(352.2451),tensor(161.2330),tensor(368.0314),tensor(305.9223),tensor(425.8495),tensor(210.8829),tensor(427.2141),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),8,video_1,tensor(-7.3186),tensor(-4.6338),tensor(-9.3798),tensor(-8.7604),tensor(-9.0348),tensor(-6.4133),tensor(-11.3190),tensor(-11.2256),tensor(-9.3084),tensor(-6.5674),tensor(-9.2581),tensor(-8.8488),tensor(-8.9759),tensor(-6.0858),tensor(-15.4121),tensor(-16.1808),tensor(-9.8816),tensor(-6.4028),tensor(-9.8159),tensor(-9.9431),tensor(-5.3159),tensor(-3.2206),tensor(-15.2599),tensor(-14.2079),tensor(-4.4884),tensor(-1.5200),tensor(-10.1804),tensor(-9.7110),tensor(-3.2193),tensor(-2.4289),tensor(-17.3898),tensor(-15.4301),tensor(-5.1426),tensor(-5.3626),tensor(-10.9284),tensor(-10.8260),tensor(-4.1225),tensor(-1.5092),tensor(-14.6566),tensor(-12.8632),tensor(1.3767),tensor(1.2323),tensor(-12.4587),tensor(-12.3331),tensor(-2.4503),tensor(-2.0033),tensor(-14.1034),tensor(-11.8271),tensor(1.0540),tensor(2.5998),tensor(-11.5055),tensor(-9.2511),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),25.69533614301873,tensor(51.0550),tensor(41.8245)
tensor(231.2570),tensor(123.3076),tensor(242.8202),tensor(105.8122),tensor(213.9969),tensor(110.0172),tensor(263.2515),tensor(105.0637),tensor(193.3463),tensor(115.1158),tensor(305.1005),tensor(183.3144),tensor(165.8328),tensor(194.1414),tensor(348.2586),tensor(266.8517),tensor(114.8422),tensor(283.8789),tensor(317.0512),tensor(328.8823),tensor(161.9332),tensor(361.9354),tensor(306.7489),tensor(405.9956),tensor(215.2745),tensor(413.1110),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),9,video_1,tensor(-16.1988),tensor(-8.8802),tensor(-3.6499),tensor(5.7298),tensor(-17.4037),tensor(-8.3690),tensor(-4.6926),tensor(6.6264),tensor(-16.8910),tensor(-7.5827),tensor(-3.6817),tensor(5.5763),tensor(-18.5472),tensor(-9.5714),tensor(-9.9970),tensor(5.4151),tensor(-17.9971),tensor(-8.1155),tensor(-7.2498),tensor(2.5661),tensor(-16.3303),tensor(-11.0143),tensor(-17.0941),tensor(-1.8342),tensor(-14.3438),tensor(-9.8553),tensor(-7.5294),tensor(2.6510),tensor(-11.4510),tensor(-8.2317),tensor(-22.6246),tensor(-5.2348),tensor(-8.0056),tensor(-2.8630),tensor(-1.4367),tensor(9.4917),tensor(-11.1018),tensor(-6.9793),tensor(-23.3628),tensor(-8.7062),tensor(0.7002),tensor(-0.6765),tensor(-6.0960),tensor(6.3627),tensor(0.8267),tensor(3.2770),tensor(-19.8539),tensor(-5.7505),tensor(4.3916),tensor(3.3376),tensor(-14.1031),tensor(-2.5976),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),26.377607227662278,tensor(67.6027),tensor(16.5477)
